Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-03-15,26.0,26.0,26.0,26.0,26.0,6000,0.0,0.0
2017-03-16,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-17,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-20,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-21,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-22,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-23,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-24,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-27,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-28,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-29,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-30,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-03-31,27.5,27.5,27.5,27.5,27.5,6000,0.0,0.0
2017-04-03,27.5,27.5,27.5,27.5,27.5,0,0.0,0.0
2017-04-05,27.5,27.5,27.5,27.5,27.5,0,0.0,0.0
2017-04-06,27.0,27.0,26.5,26.5,26.5,18000,0.0,0.0
2017-04-07,26.5,26.5,26.5,26.5,26.5,48000,0.0,0.0
2017-04-10,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-11,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-12,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-13,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-17,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-18,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-19,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-20,26.5,26.5,26.5,26.5,26.5,0,0.0,0.0
2017-04-21,27.0,27.0,27.0,27.0,27.0,6000,0.0,0.0
2017-04-24,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-04-25,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-04-26,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-04-27,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-04-28,26.0,26.0,26.0,26.0,26.0,12000,0.0,0.0
2017-05-02,26.0,26.0,26.0,26.0,26.0,12000,0.0,0.0
2017-05-03,26.0,26.0,26.0,26.0,26.0,12000,0.0,0.0
2017-05-04,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-05-05,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-05-08,26.0,26.0,26.0,26.0,26.0,0,0.0,0.0
2017-05-09,25.0,25.0,25.0,25.0,25.0,12000,0.0,0.0
2017-05-10,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-11,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-12,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-15,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-16,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-17,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-18,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-19,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-22,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-23,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-24,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-25,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-26,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-29,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-30,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-05-31,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-01,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-02,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-05,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-06,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-07,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-08,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-09,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-12,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-13,25.0,25.0,25.0,25.0,25.0,0,0.0,0.0
2017-06-14,25.25,25.25,25.25,25.25,25.25,18000,0.0,0.0
2017-06-15,25.25,25.25,25.25,25.25,25.25,0,0.0,0.0
2017-06-16,25.25,25.25,25.25,25.25,25.25,0,0.0,0.0
2017-06-19,25.5,25.5,25.5,25.5,25.5,6000,0.0,0.0
2017-06-20,25.5,25.5,25.5,25.5,25.5,0,0.0,0.0
2017-06-21,25.5,25.5,25.5,25.5,25.5,0,0.0,0.0
2017-06-22,26.0,27.0,26.0,27.0,27.0,12000,0.0,0.0
2017-06-23,27.0,27.0,27.0,27.0,27.0,12000,0.0,0.0
2017-06-27,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-06-28,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-06-29,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-06-30,27.0,27.0,27.0,27.0,27.0,0,0.0,0.0
2017-07-03,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,6000,0.0,0.0
2017-07-04,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,0,0.0,0.0
2017-07-05,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,0,0.0,0.0
2017-07-06,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,0,0.0,0.0
2017-07-07,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,0,0.0,0.0
2017-07-10,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,28.950000762939453,0,0.0,0.0
2017-07-11,29.0,29.0,29.0,29.0,29.0,6000,0.0,0.0
2017-07-12,29.5,30.0,29.5,29.75,29.75,30000,0.0,0.0
2017-07-13,32.5,35.70000076293945,32.0,33.75,33.75,24000,0.0,0.0
2017-07-14,30.0,30.0,30.0,30.0,30.0,6000,0.0,0.0
2017-07-17,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-18,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-19,30.0,30.0,30.0,30.0,30.0,6000,0.0,0.0
2017-07-20,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-21,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-24,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-25,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-26,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-27,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-28,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-07-31,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-01,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-02,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-03,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-04,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-07,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-08,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-09,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
2017-08-10,30.0,30.0,30.0,30.0,30.0,0,0.0,0.0
